Function Name,n,# of primes,Time
Sieve,57,16,0.0003418922424316406
Sieve,58,16,0.0002551078796386719
Sieve,59,17,0.00032067298889160156
Sieve,60,17,0.0003178119659423828
Sieve,61,18,0.0002701282501220703
Sieve,62,18,0.0003821849822998047
Sieve,63,18,0.0004229545593261719
Sieve,64,18,0.0002758502960205078
Sieve,65,18,0.00027680397033691406
Sieve,66,18,0.0002918243408203125
Sieve,67,19,0.0002849102020263672
Sieve,68,19,0.0002961158752441406
Sieve,69,19,0.00029206275939941406
Sieve,70,19,0.0002980232238769531
Sieve,71,20,0.0003027915954589844
Sieve,72,20,0.0003256797790527344
Sieve,73,21,0.00031185150146484375
Sieve,74,21,0.0003211498260498047
Sieve,75,21,0.0003299713134765625
Sieve,76,21,0.000308990478515625
Sieve,77,21,0.0003457069396972656
Sieve,78,21,0.00032210350036621094
Sieve,79,22,0.0003268718719482422
Sieve,80,22,0.0003268718719482422
Sieve,81,22,0.00033283233642578125
Sieve,82,22,0.0003390312194824219
Sieve,83,23,0.0003368854522705078
Sieve,84,23,0.0003769397735595703
Sieve,85,23,0.00034618377685546875
Sieve,86,23,0.0003459453582763672
Sieve,87,23,0.00047898292541503906
Sieve,88,23,0.00039505958557128906
Sieve,89,24,0.0003802776336669922
Sieve,90,24,0.00037407875061035156
Sieve,91,24,0.0004150867462158203
Sieve,92,24,0.0003769397735595703
Sieve,93,24,0.0004208087921142578
Sieve,94,24,0.0003838539123535156
Sieve,95,24,0.00038886070251464844
Sieve,96,24,0.0003960132598876953
Sieve,97,25,0.00039887428283691406
Sieve,98,25,0.0004448890686035156
Sieve,99,25,0.00040531158447265625
Sieve,100,25,0.00041103363037109375
Sieve,101,26,0.0004799365997314453
Sieve,102,26,0.0005178451538085938
Sieve,103,27,0.0004570484161376953
Sieve,104,27,0.0004239082336425781
Sieve,105,27,0.00043129920959472656
Sieve,106,27,0.0006079673767089844
Sieve,107,28,0.0005180835723876953
Sieve,108,28,0.0005059242248535156
Sieve,109,29,0.0004570484161376953
Sieve,110,29,0.00051116943359375
Sieve,111,29,0.0004630088806152344
Sieve,112,29,0.0004611015319824219
Sieve,113,30,0.0005059242248535156
Sieve,114,30,0.0005159378051757812
Sieve,115,30,0.0004818439483642578
Sieve,116,30,0.0005156993865966797
